Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,mortalidad,ids_00_comp
19.261132,-98.895655,2238,15025,Chalco,902,15025
19.416765,-98.902012,2261,15029,Chicoloapan,34,15029
19.416908,-98.945299,2258,15031,Chimalhuacán,477,15031
19.599069,-99.049159,2259,15033,Ecatepec de Morelos,3340,15033
19.833622,-99.204138,2257,15035,Huehuetoca,6,15035
19.36018,-99.351692,2720,15037,Huixquilucan,74,15037
19.313104,-98.884247,2242,15039,Ixtapaluca,1171,15039
19.569814,-99.769267,2547,15042,Ixtlahuaca,169,15042
19.285373,-99.511817,2582,15051,Lerma,59,15051
19.25242,-99.604492,2620,15054,Metepec,2286,15054
19.478803,-99.233218,2280,15057,Naucalpan de Juárez,1431,15057
19.408763,-99.0182,2262,15058,Nezahualcóyotl,1400,15058
19.625715,-99.315898,2387,15060,Nicolás Romero,32,15060
19.358387,-98.976602,2255,15070,La Paz,1173,15070
19.713924,-99.953294,2571,15074,San Felipe del Progreso,123,15074
19.710207,-98.967143,2272,15081,Tecámac,1229,15081
19.470014,-99.594906,2685,15087,Temoaya,6,15087
18.96183,-99.593842,2029,15088,Tenancingo,206,15088
19.713778,-99.223514,2289,15095,Tepotzotlán,2,15095
19.51344,-98.881484,2250,15099,Texcoco,1336,15099
19.538523,-99.195198,2257,15104,Tlalnepantla de Baz,3302,15104
19.293488,-99.657317,2671,15106,Toluca,3575,15106
19.685548,-99.128605,2254,15108,Tultepec,17,15108
19.647513,-99.169195,2248,15109,Tultitlán,813,15109
19.441876,-99.99505,2604,15114,Villa Victoria,7,15114
19.284906,-99.735038,2750,15118,Zinacantepec,54,15118
19.797123,-99.100634,2261,15120,Zumpango,850,15120
19.656996,-99.209286,2280,15121,Cuautitlán Izcalli,708,15121
19.278765,-98.943449,2252,15122,Valle de Chalco Solidaridad,293,15122
19.661043,-100.151945,2739,15124,San José del Rincón,18,15124
19.087227,-102.355264,319,16006,Apatzingán,123,16006
19.689351,-100.555161,2050,16034,Hidalgo,40,16034
17.962334,-102.197981,10,16052,Lázaro Cárdenas,368,16052
19.703384,-101.192046,1904,16053,Morelia,996,16053
20.34145,-102.022554,1680,16069,La Piedad,151,16069
19.795666,-101.176392,1865,16088,Tarímbaro,27,16088
19.420888,-102.062799,1640,16102,Uruapan,357,16102
19.983579,-102.285958,1565,16108,Zamora,142,16108
19.43718,-100.357486,1944,16112,Zitácuaro,95,16112
18.812788,-98.955265,1295,17006,Cuautla,248,17006
18.921783,-99.234897,1523,17007,Cuernavaca,1480,17007
18.840984,-99.183243,1249,17008,Emiliano Zapata,410,17008
18.881974,-99.177198,1353,17011,Jiutepec,7,17011
18.845273,-99.224143,1238,17018,Temixco,21,17018
18.886062,-99.060754,1212,17029,Yautepec,16,17029
21.507413,-104.893799,926,18017,Tepic,550,18017
20.80676,-105.247924,60,18020,Bahía de Banderas,191,18020
25.781294,-100.189228,430,19006,Apodaca,36,19006
25.591008,-100.001594,328,19009,Cadereyta Jiménez,136,19009
25.932228,-100.364122,487,19010,El Carmen,1,19010
25.800492,-100.585469,695,19018,García,78,19018
25.665169,-100.402467,627,19019,San Pedro Garza García,14,19019
25.807986,-100.322642,503,19021,General Escobedo,2,19021
25.896978,-100.108247,356,19025,General Zuazua,9,19025
25.677325,-100.259897,495,19026,Guadalupe,212,19026
25.646225,-100.090881,372,19031,Juárez,0,19031
25.664697,-100.310892,536,19039,Monterrey,8070,19039
25.783258,-100.053678,333,19041,Pesquería,4,19041
25.755253,-100.289586,493,19046,San Nicolás de los Garza,352,19046
25.674364,-100.461747,683,19048,Santa Catarina,1,19048
16.433308,-95.021633,18,20043,Juchitán de Zaragoza,123,20043
17.059993,-96.72545,1542,20067,Oaxaca de Juárez,1295,20067
18.081165,-96.118482,17,20184,San Juan Bautista Tuxtepec,361,20184
17.027281,-96.734358,1531,20385,Santa Cruz Xoxocotlán,12,20385
19.044613,-98.044917,2309,21015,Amozoc,6,21015
18.908848,-98.434168,1835,21019,Atlixco,205,21019
19.089347,-98.27331,2151,21041,Cuautlancingo,16,21041
20.174698,-98.05134,1527,21071,Huauchinango,48,21071
19.04399,-98.197495,2141,21114,Puebla,5504,21114
19.050944,-98.300656,2140,21119,San Andrés Cholula,208,21119
19.282908,-98.435516,2252,21132,San Martín Texmelucan,96,21132
19.062484,-98.307506,2160,21140,San Pedro Cholula,43,21140
18.462184,-97.391999,1628,21156,Tehuacán,654,21156
19.817991,-97.360878,1939,21174,Teziutlán,389,21174
20.552436,-100.445883,1811,22006,Corregidora,24,22006
20.60657,-100.331097,1865,22011,El Marqués,837,22011
20.593391,-100.389957,1831,22014,Querétaro,1498,22014
20.386441,-99.999632,1921,22016,San Juan del Río,381,22016
18.493889,-88.297899,2,23004,Othón P. Blanco,452,23004
21.161416,-86.824811,5,23005,Benito Juárez,1671,23005
20.628143,-87.0755,9,23008,Solidaridad,322,23008
21.986537,-99.018721,81,24013,Ciudad Valles,356,24013
23.646359,-100.644198,1577,24020,Matehuala,97,24020
22.151655,-100.976958,1865,24028,San Luis Potosí,2290,24028
22.187881,-100.937274,1850,24035,Soledad de Graciano Sánchez,798,24035
25.783417,-108.994343,8,25001,Ahome,871,25001
24.808808,-107.393756,57,25006,Culiacán,1941,25006
25.565547,-108.471818,20,25011,Guasave,539,25011
23.200316,-106.422221,10,25012,Mazatlán,1045,25012
24.767219,-107.69676,12,25018,Navolato,261,25018
27.496489,-109.932716,35,26018,Cajeme,1314,26018
27.923249,-110.889445,1,26029,Guaymas,333,26029
29.074892,-110.958464,200,26030,Hermosillo,2334,26030
27.081598,-109.445546,40,26042,Navojoa,294,26042
31.325903,-110.945745,1186,26043,Nogales,661,26043
32.479831,-114.779624,40,26055,San Luis Río Colorado,534,26055
17.98943,-93.376856,19,27002,Cárdenas,255,27002
18.530111,-92.652187,1,27003,Centla,40,27003
17.987838,-92.919416,11,27004,Centro,3115,27004
18.266048,-93.225017,8,27005,Comalcalco,215,27005
18.065363,-93.1743,11,27006,Cunduacán,28,27006
17.835174,-93.390769,26,27008,Huimanguillo,70,27008
17.756431,-92.594071,7,27012,Macuspana,121,27012
18.168857,-93.020043,12,27013,Nacajuca,27,27013
22.391553,-97.936687,10,28003,Altamira,218,28003
22.246279,-97.837,15,28009,Ciudad Madero,708,28009
22.743999,-98.971718,90,28021,El Mante,179,28021
25.879915,-97.504823,10,28022,Matamoros,694,28022
27.486291,-99.508493,126,28027,Nuevo Laredo,593,28027
26.09235,-98.278129,34,28032,Reynosa,1018,28032
25.980996,-98.090138,27,28033,Río Bravo,91,28033
22.21606,-97.858387,9,28038,Tampico,601,28038
23.731053,-99.15125,322,28041,Victoria,474,28041
19.105439,-96.106651,11,30028,Boca del Río,306,30028
18.137883,-94.453001,19,30039,Coatzacoalcos,962,30039
18.894384,-96.935349,872,30044,Córdoba,417,30044
