Id_mun_agee,NOM_MUN,tasa_mortalidad_20_1,tasa_mortalidad_20_2,tasa_mortalidad_21_1,tasa_mortalidad_21_2,dens_pobl_norm,mortalidad_norm_20_1,mortalidad_norm_20_2,mortalidad_norm_21_1,mortalidad_norm_21_2,pobreza_norm
9013,Xochimilco,147.90424,147.90424,233.16402,76.66596,0.21259,0.70363,0.66581,0.69934,0.30932,0.46718
9014,Benito Juárez,76.70107,134.51479,213.05853,68.6394,0.91382,0.36263,0.60553,0.63904,0.27652,0.02626
9015,Cuauhtémoc,158.82495,181.17402,250.23631,90.31223,0.9401,0.75593,0.81558,0.75054,0.36509,0.16849
9016,Miguel Hidalgo,109.53748,159.23951,220.5226,55.25128,0.51185,0.51989,0.71683,0.66142,0.2218,0.08753
9017,Venustiano Carranza,206.44394,197.87967,295.0165,125.53414,0.74155,0.98399,0.89078,0.88486,0.50904,0.26805
10005,Durango,16.26259,118.48462,67.37361,58.3711,0.01074,0.07319,0.53337,0.20208,0.23455,0.29103
10007,Gómez Palacio,41.85111,204.69484,63.04494,64.11804,0.0247,0.19573,0.92146,0.18909,0.25804,0.25602
10012,Lerdo,28.16677,163.48974,42.86248,58.78283,0.00385,0.1302,0.73597,0.12856,0.23623,0.26258
11002,Acámbaro,15.63981,87.39892,160.998,55.19932,0.00656,0.0702,0.39344,0.48289,0.22159,0.50766
11003,San Miguel de Allende,9.16302,64.7138,140.88137,79.6037,0.00591,0.03919,0.29132,0.42255,0.32133,0.41575
11005,Apaseo el Grande,17.81427,55.98772,102.64415,60.22921,0.01548,0.08062,0.25204,0.30786,0.24214,0.39059
11007,Celaya,31.85147,91.52501,110.13702,60.8248,0.05311,0.14784,0.41201,0.33034,0.24458,0.38293
11014,Dolores Hidalgo Cuna de la Independencia Nacional,20.24068,69.309,69.92235,65.01552,0.00512,0.09224,0.312,0.20972,0.26171,0.52079
11015,Guanajuato,22.10797,78.1491,115.68123,51.41388,0.01043,0.10118,0.3518,0.34697,0.20612,0.30525
11017,Irapuato,40.47538,77.24052,133.23147,38.28297,0.03914,0.18914,0.34771,0.39961,0.15245,0.32823
11020,León,61.99109,86.04387,114.86072,41.94711,0.07961,0.29219,0.38734,0.34451,0.16743,0.44201
11023,Pénjamo,25.81311,58.72483,151.00671,44.52762,0.00517,0.11893,0.26436,0.45292,0.17797,0.49891
11027,Salamanca,32.18527,129.10682,129.10682,43.15752,0.02009,0.14944,0.58119,0.38724,0.17237,0.34573
11030,San Felipe,7.51296,60.93845,67.61664,75.96437,0.00179,0.03128,0.27432,0.20281,0.30645,0.50766
11031,San Francisco del Rincón,32.09267,90.16512,163.5198,34.38501,0.01703,0.149,0.40589,0.49045,0.13652,0.45733
11033,San Luis de la Paz,26.45173,80.13319,102.69496,78.57721,0.00312,0.12198,0.36073,0.30802,0.31713,0.49891
11037,Silao de la Victoria,77.12865,62.39069,104.63951,38.31869,0.021,0.36468,0.28086,0.31385,0.1526,0.41357
11042,Valle de Santiago,15.32782,67.3091,98.63116,37.3199,0.00993,0.06871,0.303,0.29583,0.14852,0.45405
12001,Acapulco de Juárez,126.0958,103.39086,115.83368,177.27813,0.02518,0.59919,0.46543,0.34742,0.72051,0.50985
12028,Chilapa de Álvarez,23.43965,20.20659,23.43965,80.01811,0.0089,0.10756,0.09096,0.0703,0.32302,0.76258
12029,Chilpancingo de los Bravo,62.81895,72.70058,79.40597,83.64096,0.00691,0.29615,0.32727,0.23817,0.33783,0.54705
12035,Iguala de la Independencia,101.18503,105.72539,162.1555,55.78149,0.01488,0.47989,0.47593,0.48636,0.22397,0.53611
12038,Zihuatanejo de Azueta,52.38054,88.88818,63.49156,92.06276,0.00441,0.24616,0.40014,0.19043,0.37225,0.44201
12055,Taxco de Alarcón,55.87862,83.34438,154.37653,51.14314,0.00875,0.26291,0.37518,0.46303,0.20501,0.76039
13028,Huejutla de Reyes,43.38189,54.42456,37.86056,51.26951,0.01782,0.20306,0.245,0.11356,0.20553,0.65536
13048,Pachuca de Soto,51.53803,162.24935,215.05992,55.03752,0.11558,0.24212,0.73038,0.64504,0.22093,0.24836
13051,Mineral de la Reforma,35.51189,107.52211,142.54078,40.4441,0.09977,0.16537,0.48402,0.42753,0.16128,0.14442
