den_pob,pobreza
0.006378,0.979875
0.195473,0.385474
0.226704,0.16792
0.852837,0.338906
0.015556,0.361198
0.446795,0.396126
0.011079,0.753795
0.01573,0.44739
0.024769,0.650155
0.025875,0.224561
0.14281,0.542828
0.09834,0.67389
0.091883,0.499014
0.026533,0.292571
0.013385,0.534196
0.024951,0.581172
