Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,total_muertes,total_muertes_21,dens_pobl,POBTOT,tasa_mortalidad,tasa_mortalidad_21,pobreza,lat_norm,lon_norm,alt_norm,dens_pobl_norm,mortalidad_norm,pobreza_norm,mortalidad_norm_21,membresias
28.406312,-106.866044,2061,8017,Cuauhtémoc,229,294,50.06596,180638,126.77288,162.75645,24.7,0.87026,0.912960044,0.74137,0.00285,0.04946,0.2549,0.06462,9
28.636794,-106.076307,1421,8019,Chihuahua,1713,1689,111.86757,937674,182.68609,180.12657,15.7,0.87732,0.906213295,0.51115,0.00636,0.07127,0.16202,0.07151,9
28.192948,-105.471047,1173,8021,Delicias,483,430,282.37523,150506,320.91744,285.7029,21.8,0.86372,0.90104254,0.42194,0.01605,0.1252,0.22497,0.11343,9
26.922088,-105.667143,1751,8032,Hidalgo del Parral,292,251,60.63514,116662,250.29573,215.15146,31.2,0.82479,0.902717794,0.62986,0.00345,0.09765,0.32198,0.08542,13
31.746465,-106.485019,1128,8037,Juárez,4237,898,426.40259,1512450,280.14149,59.37386,23.7,0.97259,0.909704935,0.40576,0.02423,0.10929,0.24458,0.02357,9
19.484103,-99.184361,2244,9002,Azcapotzalco,703,1019,12711.91176,432205,162.6543,235.76775,24.2,0.59692,0.847335179,0.80719,0.72246,0.06346,0.24974,0.0936,3
19.350214,-99.162146,2247,9003,Coyoacán,22,22,11378.64815,614447,3.58046,3.58046,27.1,0.59282,0.847145396,0.80827,0.64668,0.0014,0.27967,0.00142,3
19.35735,-99.299792,2780,9004,Cuajimalpa de Morelos,0,30,3066,217686,0,13.78132,32.5,0.59303,0.84832131,1,0.17425,0,0.3354,0.00547,1
19.482945,-99.113471,2229,9005,Gustavo A. Madero,5367,6925,13333.53409,1173351,457.40789,590.18998,33.8,0.59688,0.846729564,0.8018,0.75778,0.17845,0.34881,0.23431,3
19.395901,-99.097613,2233,9006,Iztacalco,20,27,17595.43478,404695,4.94199,6.67169,25.2,0.59422,0.846594088,0.80324,1,0.00193,0.26006,0.00265,3
19.359004,-99.092623,2242,9007,Iztapalapa,12,1354,16243.23894,1835486,0.65378,73.76793,43.9,0.59309,0.846551459,0.80647,0.92315,0.00026,0.45304,0.02929,3
19.304898,-99.241516,2520,9008,La Magdalena Contreras,0,46,3930.50794,247622,0,18.5767,42.5,0.59143,0.847823456,0.90647,0.22338,0,0.4386,0.00738,1
19.191249,-99.023372,2429,9009,Milpa Alta,0,45,512.36577,152685,0,29.47244,54.7,0.58795,0.845959845,0.87374,0.02912,0,0.5645,0.0117,15
19.390806,-99.195413,2308,9010,Álvaro Obregón,7275,9790,7907.67708,759137,958.32505,1289.62229,37.7,0.59406,0.847429597,0.83022,0.44942,0.37388,0.38906,0.51199,5
19.270566,-99.004846,2249,9011,Tláhuac,3,111,4561.77907,392313,0.7647,28.29373,42.4,0.59038,0.845801577,0.80899,0.25926,0.0003,0.43756,0.01123,1
19.288275,-99.167126,2280,9012,Tlalpan,0,71,2257.83226,699928,0,10.1439,39.7,0.59092,0.84718794,0.82014,0.12832,0,0.4097,0.00403,1
19.263462,-99.104913,2237,9013,Xochimilco,836,1022,3747.27119,442178,189.06413,231.12864,48.2,0.59016,0.846656452,0.80468,0.21297,0.07376,0.49742,0.09176,10
19.371992,-99.157853,2238,9014,Benito Juárez,8371,6942,16079.74074,434153,1928.12211,1598.97548,7.9,0.59348,0.847108721,0.80504,0.91386,0.75224,0.08153,0.6348,3
19.441647,-99.151884,2230,9015,Cuauhtémoc,13992,13750,16541.93939,545884,2563.18192,2518.85016,20.9,0.59562,0.847057727,0.80216,0.94013,1,0.21569,1,3
19.407269,-99.190754,2264,9016,Miguel Hidalgo,1377,1093,9010.21739,414470,332.23152,263.71028,13.5,0.59456,0.847389795,0.81439,0.51208,0.12962,0.13932,0.10469,5
19.419262,-99.113701,2229,9017,Venustiano Carranza,0,24,13050.11765,443704,0,5.40901,30,0.59493,0.846731529,0.8018,0.74168,0,0.3096,0.00215,3
24.023988,-104.670194,1893,10005,Durango,987,912,197.22136,688697,143.31411,132.42398,32.1,0.736,0.894200827,0.68094,0.01121,0.05591,0.33127,0.05257,4
25.570107,-103.496417,1130,10007,Gómez Palacio,1086,551,442.69596,372750,291.34809,147.82025,28.9,0.78337,0.884173212,0.40647,0.02516,0.11367,0.29825,0.05869,13
25.536552,-103.524849,1132,10012,Lerdo,240,104,76.03026,163313,146.95707,63.6814,29.5,0.78234,0.884416108,0.40719,0.00432,0.05733,0.30444,0.02528,13
20.03538,-100.719326,1880,11002,Acámbaro,93,211,123.80068,108697,85.55894,194.11759,51.9,0.61381,0.860448435,0.67626,0.00704,0.03338,0.5356,0.07707,14
20.904013,-100.713381,2028,11003,San Miguel de Allende,89,269,112.36486,174615,50.96928,154.0532,43.5,0.64042,0.860397646,0.7295,0.00639,0.01989,0.44892,0.06116,7
